title,link,standardized_date,source,target,relation
Andy Read Joins ICEYE to Lead Global Government Solutions,https://www.iceye.com/press/press-releases/andy-read-joins-iceye-to-lead-global-government-solutions,,ICEYE,Swiss Re,Strategic Alliances
ICEYE Named as a Contributing Mission to Europe’s Copernicus Satellite Imaging Programme,https://www.iceye.com/press/press-releases/iceye-named-as-a-contributing-mission-to-europes-copernicus-satellite-imaging-programme,,ICEYE,European Space Agency (ESA),Supplier-Customer Relationships
"ICEYE Launches Four New Radar Imaging Satellites, Taking a Further Leap Forward in Persistent Monitoring Capabilities",https://www.iceye.com/press/press-releases/iceye-launches-four-new-radar-imaging-satellites-taking-a-further-leap-forward-in-persistent-monitoring-capabilities,,SpaceX,ICEYE,Supplier-Customer Relationships
"ICEYE Expands Satellite Offering in Japan, Makoto Higashi Joins as General Manager for Local Business Operations",https://www.iceye.com/press/press-releases/iceye-expands-satellite-offering-in-japan-makoto-higashi-joins-as-general-manager-for-local-business-operations,,ICEYE,Tokio Marine,Supplier-Customer Relationships
ICEYE Approved as Full ESA Earthnet Third Party Mission - The Programme Opens Access to ICEYE SAR Data for Researchers and Developers,https://www.iceye.com/press/press-releases/iceye-approved-as-full-esa-earthnet-third-party-mission-the-programme-opens-access-to-iceye-sar-data-for-researchers-and-developers,,ICEYE,European Space Agency (ESA),Supplier-Customer Relationships
ICEYE Introduces the World’s First Wide Area Imaging for Persistent Monitoring with New Space SAR Satellites,https://www.iceye.com/press/press-releases/iceye-introduces-the-worlds-first-wide-area-imaging-for-persistent-monitoring-with-new-space-sar-satellites,,ICEYE,KSAT,Supplier-Customer Relationships
"ICEYE Opens New Spacecraft Production Facility in Irvine, California, Expands U.S. Manufacturing, Research and Customer Operations",https://www.iceye.com/press/press-releases/iceye-opens-new-spacecraft-production-facility-in-irvine-california-expands-us-manufacturing-research-and-customer-operations,,ICEYE,In-Q-Tel,Investment and Financial Partnerships
ICEYE Reports Contracts Valued at $50M in 2020 and Announces New Launches to Meet Growing Demand,https://www.iceye.com/press/press-releases/iceye-reports-contracts-valued-at-50m-usd-in-2020-and-announces-new-launches-to-meet-growing-demand,,ICEYE,Swiss Re,Strategic Alliances
ICEYE Enters Into A Strategic Partnership With Swiss Re Advancing Natural Catastrophe Services With Radar Satellite-Based Flood Monitoring,https://www.iceye.com/press/press-releases/iceye-enters-into-a-strategic-partnership-with-swiss-re-advancing-natural-catastrophe-services-with-radar-satellite-based-flood-monitoring,,ICEYE,Swiss Re,Strategic Alliances
Relativity Space and Intelsat Sign Multi-Launch Agreement for Terran R,https://www.relativityspace.com/press-release/2023/10/9/relativity-space-and-intelsat-sign-multi-launch-agreement-for-terran-r,2023-10-11,Relativity,Intelsat,Supplier-Customer Relationships
"Relativity Space Shares Updated Go-to-Market Approach for Terran R, Taking Aim at Medium to Heavy Payload Category with Next-Generation Rocket",https://www.relativityspace.com/press-release/2023/4/12/terran-r,2023-04-12,Relativity,OneWeb,Supplier-Customer Relationships
Relativity Space Maps Path To Terran R Production At Scale with Unveil of Stargate 4th Generation Metal 3D Printers,https://www.relativityspace.com/press-release/2022/10/24/relativity-space-maps-path-to-terran-r-production-at-scale-with-unveil-of-stargate-4th-generation-metal-3d-printers,2022-10-24,Relativity,OneWeb,Contract Teaming
Relativity Space Maps Path To Terran R Production At Scale with Unveil of Stargate 4th Generation Metal 3D Printers,https://www.relativityspace.com/press-release/2022/10/24/relativity-space-maps-path-to-terran-r-production-at-scale-with-unveil-of-stargate-4th-generation-metal-3d-printers,2022-10-24,Relativity,Impulse Space,Joint Product Development
New Agreement with NASA Puts Relativity Space on Path to Operate One of America’s Largest Rocket Engine Test Facilities,https://www.relativityspace.com/press-release/2022/10/18/new-agreement-with-nasa-puts-relativity-space-on-path-to-operate-one-of-americas-largest-rocket-engine-test-facilities,2022-10-18,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Impulse Space and Relativity Space Announce First Commercial Mission to Mars,https://www.relativityspace.com/press-release/2022/7/19/impulse-space-and-relativity-space-announce-first-commercial-mission-to-mars,2022-07-19,Impulse Space,Relativity,Joint Ventures
Relativity and OneWeb Sign Multi-Launch Agreement for Terran R,https://www.relativityspace.com/press-release/2022/06/30/terranroneweblsa,2022-06-30,Relativity,OneWeb,Supplier-Customer Relationships
NASA Selects Relativity Space for Venture-Class Acquisition  of Dedicated and Rideshare (VADR) Mission,https://www.relativityspace.com/press-release/2022/jan27/nasavclsrelativity,2022-01-27,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Relativity Space Raises $650M to Scale Terran R Production,https://www.relativityspace.com/press-release/2021/6/08/relativity-space-fundraise-series-e,2021-06-08,Relativity,BlackRock,Investment and Financial Partnerships
Relativity Space Raises $650M to Scale Terran R Production,https://www.relativityspace.com/press-release/2021/6/08/relativity-space-fundraise-series-e,2021-06-08,Relativity,Centricus,Investment and Financial Partnerships
Relativity Space Raises $650M to Scale Terran R Production,https://www.relativityspace.com/press-release/2021/6/08/relativity-space-fundraise-series-e,2021-06-08,Relativity,K5 Global,Investment and Financial Partnerships
Relativity Space Raises $650M to Scale Terran R Production,https://www.relativityspace.com/press-release/2021/6/08/relativity-space-fundraise-series-e,2021-06-08,Relativity,Tribe Capital,Investment and Financial Partnerships
Relativity Space Raises $650M to Scale Terran R Production,https://www.relativityspace.com/press-release/2021/6/08/relativity-space-fundraise-series-e,2021-06-08,Relativity,TriSept,Supplier-Customer Relationships
Relativity Space Raises $650M to Scale Terran R Production,https://www.relativityspace.com/press-release/2021/6/08/relativity-space-fundraise-series-e,2021-06-08,Relativity,Department of Defense (DoD),Supplier-Customer Relationships
Relativity Space Raises $650M to Scale Terran R Production,https://www.relativityspace.com/press-release/2021/6/08/relativity-space-fundraise-series-e,2021-06-08,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
"Relativity Unveils Its Plans for Terran R, the First Fully Reusable, Entirely 3D-Printed Rocket",https://www.relativityspace.com/press-release/2021/6/08/relativity-unveils-plans-for-terran-r,2021-06-08,Relativity,Department of Defense (DoD),Supplier-Customer Relationships
"Relativity Unveils Its Plans for Terran R, the First Fully Reusable, Entirely 3D-Printed Rocket",https://www.relativityspace.com/press-release/2021/6/08/relativity-unveils-plans-for-terran-r,2021-06-08,Relativity,Defense Innovation Unit (DIU),Contract Teaming
"Relativity Unveils Its Plans for Terran R, the First Fully Reusable, Entirely 3D-Printed Rocket",https://www.relativityspace.com/press-release/2021/6/08/relativity-unveils-plans-for-terran-r,2021-06-08,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
"Relativity Unveils Its Plans for Terran R, the First Fully Reusable, Entirely 3D-Printed Rocket",https://www.relativityspace.com/press-release/2021/6/08/relativity-unveils-plans-for-terran-r,2021-06-08,Relativity,Iridium,Supplier-Customer Relationships
Department of Defense awards Relativity Space new Responsive Launch contract,https://www.relativityspace.com/press-release/2021/3/12/department-of-defense-awards-relativity-space-new-responsive-launch-contract,2021-03-15,Relativity,U.S. Government,Supplier-Customer Relationships
Department of Defense awards Relativity Space new Responsive Launch contract,https://www.relativityspace.com/press-release/2021/3/12/department-of-defense-awards-relativity-space-new-responsive-launch-contract,2021-03-15,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
NASA Awards Relativity Space a Venture Class Launch Services Demonstration 2 Contract,https://www.relativityspace.com/press-release/2020/12/11/nasa-awards-relativity-space-a-venture-class-launch-services-demonstration-2-contract,2020-12-11,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
NASA Awards Relativity Space a Venture Class Launch Services Demonstration 2 Contract,https://www.relativityspace.com/press-release/2020/12/11/nasa-awards-relativity-space-a-venture-class-launch-services-demonstration-2-contract,2020-12-11,Relativity,Lockheed Martin,Supplier-Customer Relationships
TriSept Selects Relativity Space for Full Launch Mission Aboard Terran 1,https://www.relativityspace.com/press-release/2020/12/10/trisept-selects-relativity-space-for-full-launch-mission-aboard-terran1,2020-12-10,Relativity,TriSept,Supplier-Customer Relationships
Relativity space closes $500m series d financing as it solidifies sector-leading momentum,https://www.relativityspace.com/press-release/2020/11/23/relativity-space-closes-500m-series-d-financing-as-it-solidifies-sector-leading-momentum,2020-11-23,Relativity,Tribe Capital,Investment and Financial Partnerships
Relativity space closes $500m series d financing as it solidifies sector-leading momentum,https://www.relativityspace.com/press-release/2020/11/23/relativity-space-closes-500m-series-d-financing-as-it-solidifies-sector-leading-momentum,2020-11-23,Relativity,K5 Global,Investment and Financial Partnerships
Lockheed Martin Teams with Relativity Space for NASA Tipping Point Mission,https://www.relativityspace.com/press-release/2020/10/19/lockheed-picks-relativitys-3d-printed-rocket-for-experimental-nasa-mission,2020-10-19,National Aeronautics and Space Administration (NASA),Lockheed Martin,Investment and Financial Partnerships
Relativity Space Expands Footprint Via Launch Site at Vandenberg Air Force Base,https://www.relativityspace.com/press-release/2020/6/24/relativity-space-expands-footprint-via-launch-site-at-vandenberg-air-force-base,2020-06-24,Relativity,U.S. Air Force,Supplier-Customer Relationships
Relativity Space Expands Footprint Via Launch Site at Vandenberg Air Force Base,https://www.relativityspace.com/press-release/2020/6/24/relativity-space-expands-footprint-via-launch-site-at-vandenberg-air-force-base,2020-06-24,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Relativity Space Secures New Headquarters Facility In The Heart Of Southern California’S Next-Generation Aerospace Community,https://www.relativityspace.com/press-release/hq-announcement,2020-02-28,Relativity,Tribe Capital,Investment and Financial Partnerships
Relativity Space Secures New Headquarters Facility In The Heart Of Southern California’S Next-Generation Aerospace Community,https://www.relativityspace.com/press-release/hq-announcement,2020-02-28,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Relativity Space Closes $140 Million Series C Funding Round  Led by Bond and Tribe Capital,https://www.relativityspace.com/press-release/2019/10/1/relativity-space-closes-140-million-series-c-funding-round-led-by-bond-and-tribe-capital,2019-10-01,Relativity,Tribe Capital,Investment and Financial Partnerships
Relativity Space Closes $140 Million Series C Funding Round  Led by Bond and Tribe Capital,https://www.relativityspace.com/press-release/2019/10/1/relativity-space-closes-140-million-series-c-funding-round-led-by-bond-and-tribe-capital,2019-10-01,Relativity,U.S. Air Force,Strategic Alliances
Relativity Space Closes $140 Million Series C Funding Round  Led by Bond and Tribe Capital,https://www.relativityspace.com/press-release/2019/10/1/relativity-space-closes-140-million-series-c-funding-round-led-by-bond-and-tribe-capital,2019-10-01,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Relativity Space Closes $140 Million Series C Funding Round  Led by Bond and Tribe Capital,https://www.relativityspace.com/press-release/2019/10/1/relativity-space-closes-140-million-series-c-funding-round-led-by-bond-and-tribe-capital,2019-10-01,Relativity,Telesat,Supplier-Customer Relationships
Relativity Space Closes $140 Million Series C Funding Round  Led by Bond and Tribe Capital,https://www.relativityspace.com/press-release/2019/10/1/relativity-space-closes-140-million-series-c-funding-round-led-by-bond-and-tribe-capital,2019-10-01,Relativity,mu Space,Supplier-Customer Relationships
Relativity Space Closes $140 Million Series C Funding Round  Led by Bond and Tribe Capital,https://www.relativityspace.com/press-release/2019/10/1/relativity-space-closes-140-million-series-c-funding-round-led-by-bond-and-tribe-capital,2019-10-01,Relativity,Spaceflight,Supplier-Customer Relationships
Relativity Space Closes $140 Million Series C Funding Round  Led by Bond and Tribe Capital,https://www.relativityspace.com/press-release/2019/10/1/relativity-space-closes-140-million-series-c-funding-round-led-by-bond-and-tribe-capital,2019-10-01,Relativity,Momentus,Supplier-Customer Relationships
"Relativity Space Signs Launch Services Agreement for Multiple Launches with Momentus on Terran 1, World’s First 3D Printed Rocket",https://www.relativityspace.com/press-release/2019/9/30/relativity-space-signs-launch-services-agreement-for-multiple-launches-with-momentus-on-terran-1-worlds-first-3d-printed-rocket,2019-09-30,Relativity,Momentus,Supplier-Customer Relationships
"Relativity Space Signs Launch Services Agreement for Multiple Launches with Momentus on Terran 1, World’s First 3D Printed Rocket",https://www.relativityspace.com/press-release/2019/9/30/relativity-space-signs-launch-services-agreement-for-multiple-launches-with-momentus-on-terran-1-worlds-first-3d-printed-rocket,2019-09-30,Relativity,Telesat,Supplier-Customer Relationships
"Relativity Space Signs Launch Services Agreement for Multiple Launches with Momentus on Terran 1, World’s First 3D Printed Rocket",https://www.relativityspace.com/press-release/2019/9/30/relativity-space-signs-launch-services-agreement-for-multiple-launches-with-momentus-on-terran-1-worlds-first-3d-printed-rocket,2019-09-30,Relativity,mu Space,Supplier-Customer Relationships
"Relativity Space Signs Launch Services Agreement for Multiple Launches with Momentus on Terran 1, World’s First 3D Printed Rocket",https://www.relativityspace.com/press-release/2019/9/30/relativity-space-signs-launch-services-agreement-for-multiple-launches-with-momentus-on-terran-1-worlds-first-3d-printed-rocket,2019-09-30,Relativity,Spaceflight,Supplier-Customer Relationships
Relativity to Build New Autonomous Rocket Factory and Expand Testing Facilities at NASA Stennis Space Center in Mississippi,https://www.relativityspace.com/press-release/relativity-to-build-new-autonomous-rocket-factory-and-expand-testing-facilities-at-nasa-stennis-space-center-in-mississippi,2019-06-11,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Relativity to Build New Autonomous Rocket Factory and Expand Testing Facilities at NASA Stennis Space Center in Mississippi,https://www.relativityspace.com/press-release/relativity-to-build-new-autonomous-rocket-factory-and-expand-testing-facilities-at-nasa-stennis-space-center-in-mississippi,2019-06-11,Relativity,Telesat,Supplier-Customer Relationships
Relativity to Build New Autonomous Rocket Factory and Expand Testing Facilities at NASA Stennis Space Center in Mississippi,https://www.relativityspace.com/press-release/relativity-to-build-new-autonomous-rocket-factory-and-expand-testing-facilities-at-nasa-stennis-space-center-in-mississippi,2019-06-11,Relativity,mu Space,Supplier-Customer Relationships
Relativity to Build New Autonomous Rocket Factory and Expand Testing Facilities at NASA Stennis Space Center in Mississippi,https://www.relativityspace.com/press-release/relativity-to-build-new-autonomous-rocket-factory-and-expand-testing-facilities-at-nasa-stennis-space-center-in-mississippi,2019-06-11,Relativity,Spaceflight,Supplier-Customer Relationships
Relativity to Build New Autonomous Rocket Factory and Expand Testing Facilities at NASA Stennis Space Center in Mississippi,https://www.relativityspace.com/press-release/relativity-to-build-new-autonomous-rocket-factory-and-expand-testing-facilities-at-nasa-stennis-space-center-in-mississippi,2019-06-11,Relativity,National Space Council,Policy and Standards Influence
"Relativity Signs Launch Services Agreement for Multiple Launches with Spaceflight on Terran 1, World’s First 3D Printed Rocket",https://www.relativityspace.com/press-release/2019/06/29/relativity-signs-launch-services-agreement-for-multiple-launches-with-spaceflight-on-terran-1,2019-05-06,Relativity,Spaceflight,Supplier-Customer Relationships
"Relativity Signs Launch Services Agreement for Multiple Launches with Spaceflight on Terran 1, World’s First 3D Printed Rocket",https://www.relativityspace.com/press-release/2019/06/29/relativity-signs-launch-services-agreement-for-multiple-launches-with-spaceflight-on-terran-1,2019-05-06,Relativity,Telesat,Supplier-Customer Relationships
"Relativity Signs Launch Services Agreement for Multiple Launches with Spaceflight on Terran 1, World’s First 3D Printed Rocket",https://www.relativityspace.com/press-release/2019/06/29/relativity-signs-launch-services-agreement-for-multiple-launches-with-spaceflight-on-terran-1,2019-05-06,Relativity,mu Space,Supplier-Customer Relationships
"Relativity Signs Launch Services Agreement for Multiple Launches with Spaceflight on Terran 1, World’s First 3D Printed Rocket",https://www.relativityspace.com/press-release/2019/06/29/relativity-signs-launch-services-agreement-for-multiple-launches-with-spaceflight-on-terran-1,2019-05-06,Relativity,U.S. Air Force,Supplier-Customer Relationships
"Relativity Signs Launch Services Agreement for Multiple Launches with Spaceflight on Terran 1, World’s First 3D Printed Rocket",https://www.relativityspace.com/press-release/2019/06/29/relativity-signs-launch-services-agreement-for-multiple-launches-with-spaceflight-on-terran-1,2019-05-06,Relativity,NASA Stennis Space Center,Supplier-Customer Relationships
"Relativity Signs Launch Services Agreement for Multiple Launches with Spaceflight on Terran 1, World’s First 3D Printed Rocket",https://www.relativityspace.com/press-release/2019/06/29/relativity-signs-launch-services-agreement-for-multiple-launches-with-spaceflight-on-terran-1,2019-05-06,Relativity,National Space Council,Policy and Standards Influence
Relativity’s 3D Printed Terran 1 Rocket to Launch mu Space’s  Low Earth Orbit (LEO) Satellite,https://www.relativityspace.com/press-release/2019/4/23/launch-mu-space-low-earth-orbit-satellite,2019-04-23,Relativity,mu Space,Supplier-Customer Relationships
Relativity’s 3D Printed Terran 1 Rocket to Launch mu Space’s  Low Earth Orbit (LEO) Satellite,https://www.relativityspace.com/press-release/2019/4/23/launch-mu-space-low-earth-orbit-satellite,2019-04-23,Relativity,Telesat,Supplier-Customer Relationships
Relativity’s 3D Printed Terran 1 Rocket to Launch mu Space’s  Low Earth Orbit (LEO) Satellite,https://www.relativityspace.com/press-release/2019/4/23/launch-mu-space-low-earth-orbit-satellite,2019-04-23,Relativity,U.S. Air Force,Supplier-Customer Relationships
Relativity’s 3D Printed Terran 1 Rocket to Launch mu Space’s  Low Earth Orbit (LEO) Satellite,https://www.relativityspace.com/press-release/2019/4/23/launch-mu-space-low-earth-orbit-satellite,2019-04-23,Relativity,NASA Stennis Space Center,Supplier-Customer Relationships
Relativity’s 3D Printed Terran 1 Rocket to Launch mu Space’s  Low Earth Orbit (LEO) Satellite,https://www.relativityspace.com/press-release/2019/4/23/launch-mu-space-low-earth-orbit-satellite,2019-04-23,Relativity,National Space Council,Policy and Standards Influence
Relativity Contracts with Telesat to Provide Launch Services for  Telesat’s Low Earth Orbit (LEO) Satellite Constellation,https://www.relativityspace.com/press-release/2019/5/5/relativity-contracts-with-telesat-to-provide-launch-services-for-telesats-low-earth-orbit,2019-04-05,Relativity,Telesat,Supplier-Customer Relationships
Relativity Granted Industry-First Machine Learning 3D Metal Printing Patent and Adds Senior Leaders from SpaceX and Virgin Orbit to Executive Team,https://www.relativityspace.com/press-release/2019/02/14/relativity-granted-industry-first-machine-learning-3d-metal-printing-patent-and-adds-senior-leaders-from-spacex-and-virgin-orbit-to-executive-team,2019-02-14,Relativity,U.S. Air Force,Supplier-Customer Relationships
Relativity Granted Industry-First Machine Learning 3D Metal Printing Patent and Adds Senior Leaders from SpaceX and Virgin Orbit to Executive Team,https://www.relativityspace.com/press-release/2019/02/14/relativity-granted-industry-first-machine-learning-3d-metal-printing-patent-and-adds-senior-leaders-from-spacex-and-virgin-orbit-to-executive-team,2019-02-14,Relativity,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Relativity Wins Right of Entry for Rocket Launch Site at Cape Canaveral,https://www.relativityspace.com/press-release/2019/01/relativity-wins-right-of-entry-for-rocket-launch-site-at-cape-canaveral,2019-01-17,Relativity,U.S. Air Force,Supplier-Customer Relationships
Firefly Aerospace Ready to Launch Alpha FLTA004 for Lockheed Martin No Earlier Than December 20,https://fireflyspace.com/news/firefly-aerospace-ready-to-launch-alpha-flta004-for-lockheed-martin-no-earlier-than-december-20/,2023-12-18,Lockheed Martin,Firefly Aerospace,Supplier-Customer Relationships
Firefly Aerospace Selected to Support DARPA LunA-10 with Framework for On-Orbit Spacecraft Hubs,https://fireflyspace.com/news/firefly-aerospace-selected-to-support-darpa-luna-10-with-framework-for-on-orbit-spacecraft-hubs/,2023-12-05,Firefly Aerospace,Defense Advanced Research Projects Agency,Research and Development Collaborations
"Firefly Aerospace Closes Third Tranche of Series C Round, Reaching Approximately $300 Million of Financing to Date",https://fireflyspace.com/news/firefly-aerospace-closes-third-tranche-of-series-c-round-reaching-approximately-300-million-of-financing-to-date/,2023-11-10,Firefly Aerospace,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
"Firefly Aerospace Closes Third Tranche of Series C Round, Reaching Approximately $300 Million of Financing to Date",https://fireflyspace.com/news/firefly-aerospace-closes-third-tranche-of-series-c-round-reaching-approximately-300-million-of-financing-to-date/,2023-11-10,Firefly Aerospace,Lockheed Martin,Supplier-Customer Relationships
"Firefly Aerospace Closes Third Tranche of Series C Round, Reaching Approximately $300 Million of Financing to Date",https://fireflyspace.com/news/firefly-aerospace-closes-third-tranche-of-series-c-round-reaching-approximately-300-million-of-financing-to-date/,2023-11-10,Firefly Aerospace,L3Harris,Supplier-Customer Relationships
"Firefly Aerospace Closes Third Tranche of Series C Round, Reaching Approximately $300 Million of Financing to Date",https://fireflyspace.com/news/firefly-aerospace-closes-third-tranche-of-series-c-round-reaching-approximately-300-million-of-financing-to-date/,2023-11-10,Firefly Aerospace,National Reconnaissance Office (NRO),Supplier-Customer Relationships
"Firefly Aerospace Closes Third Tranche of Series C Round, Reaching Approximately $300 Million of Financing to Date",https://fireflyspace.com/news/firefly-aerospace-closes-third-tranche-of-series-c-round-reaching-approximately-300-million-of-financing-to-date/,2023-11-10,Firefly Aerospace,Northrop Grumman,Joint Product Development
"Firefly Aerospace Closes Third Tranche of Series C Round, Reaching Approximately $300 Million of Financing to Date",https://fireflyspace.com/news/firefly-aerospace-closes-third-tranche-of-series-c-round-reaching-approximately-300-million-of-financing-to-date/,2023-11-10,Firefly Aerospace,U.S. Space Force,Investment and Financial Partnerships
"Firefly Aerospace Closes Third Tranche of Series C Round, Reaching Approximately $300 Million of Financing to Date",https://fireflyspace.com/news/firefly-aerospace-closes-third-tranche-of-series-c-round-reaching-approximately-300-million-of-financing-to-date/,2023-11-10,Firefly Aerospace,AE Industrial Partners,Investment and Financial Partnerships
Firefly Aerospace Announces Agreement with Fleet Space to Deliver Seismic Payload to Far Side of the Moon,https://fireflyspace.com/news/firefly-announces-agreement-with-fleet-space-to-deliver-payload-to-the-moon/,2023-11-08,Firefly Aerospace,Fleet Space,Supplier-Customer Relationships
Firefly Aerospace Announces Agreement with Fleet Space to Deliver Seismic Payload to Far Side of the Moon,https://fireflyspace.com/news/firefly-announces-agreement-with-fleet-space-to-deliver-payload-to-the-moon/,2023-11-08,Firefly Aerospace,European Space Agency (ESA),Supplier-Customer Relationships
Firefly Aerospace Announces Agreement with Fleet Space to Deliver Seismic Payload to Far Side of the Moon,https://fireflyspace.com/news/firefly-announces-agreement-with-fleet-space-to-deliver-payload-to-the-moon/,2023-11-08,Firefly Aerospace,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Firefly Aerospace Successfully Launches U.S. Space Force VICTUS NOX Responsive Space Mission with 24-Hour Notice,https://fireflyspace.com/news/firefly-aerospace-successfully-launches-victus-nox-with-24-hour-notice/,2023-09-14,Space Systems Command,Rocket Systems Launch Program,Strategic Alliances
Firefly Awarded $18 Million NASA Contract to Provide Radio Frequency Calibration Services from Lunar Orbit,https://fireflyspace.com/news/firefly-awarded-18-million-nasa-contract-to-provide-radio-frequency-calibration-services-from-lunar-orbit/,2023-09-12,Firefly Aerospace,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Firefly Aerospace Awarded Multi-Launch Agreement with L3Harris,https://fireflyspace.com/news/firefly-aerospace-awarded-multi-launch-agreement-with-l3harris/,2023-09-05,Firefly Aerospace,L3Harris,Supplier-Customer Relationships
Firefly Aerospace Signs Agreement with Lockheed Martin for Alpha Launch Services,https://fireflyspace.com/news/firefly-aerospace-signs-agreement-with-lockheed-martin-for-alpha-launch-services/,2023-06-29,Firefly Aerospace,Lockheed Martin,Technology Demonstration Partnerships
Firefly Aerospace Announces Strategic Acquisition of Spaceflight Inc. to Bolster On-Orbit Services,https://fireflyspace.com/news/firefly-aerospace-announces-strategic-acquisition-of-spaceflight-inc-to-bolster-on-orbit-services/,2023-06-08,Firefly Aerospace,Spaceflight,Mergers and Acquisitions
Firefly Awarded $112 Million NASA Contract for Payload Delivery to Lunar Orbit and the Far Side of the Moon,https://fireflyspace.com/news/firefly-awarded-second-nasa-clps-contract/,2023-03-14,Firefly Aerospace,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Firefly Aerospace Names Former GE Senior Executive Dan Fermon as Chief Operating Officer,https://fireflyspace.com/news/firefly-aerospace-names-former-ge-senior-executive-dan-fermon-as-chief-operating-officer/,2022-11-03,Firefly Aerospace,Northrop Grumman,Supplier-Customer Relationships
Firefly Aerospace Adds Former NASA Administrator James Bridenstine to its Advisory Board,https://fireflyspace.com/news/firefly-aerospace-adds-former-nasa-administrator-james-bridenstine-to-its-advisory-board/,2022-10-24,National Aeronautics and Space Administration (NASA),Space Systems Command,Regulatory Relationship
Firefly Aerospace Adds Former NASA Administrator James Bridenstine to its Advisory Board,https://fireflyspace.com/news/firefly-aerospace-adds-former-nasa-administrator-james-bridenstine-to-its-advisory-board/,2022-10-24,National Aeronautics and Space Administration (NASA),Firefly Aerospace,Supplier-Customer Relationships
Firefly Aerospace Adds Former NASA Administrator James Bridenstine to its Advisory Board,https://fireflyspace.com/news/firefly-aerospace-adds-former-nasa-administrator-james-bridenstine-to-its-advisory-board/,2022-10-24,Firefly Aerospace,Northrop Grumman,Joint Product Development
"Firefly Aerospace Adds Chris Emerson, Longtime Aerospace Industry Leader and Former Airbus Executive, to its Board of Directors",https://fireflyspace.com/news/firefly-aerospace-adds-chris-emerson-longtime-aerospace-industry-leader-and-former-airbus-executive-to-its-board-of-directors/,2022-10-20,Belcan,AE Industrial Partners,Investment and Financial Partnerships
"Firefly Aerospace Adds Chris Emerson, Longtime Aerospace Industry Leader and Former Airbus Executive, to its Board of Directors",https://fireflyspace.com/news/firefly-aerospace-adds-chris-emerson-longtime-aerospace-industry-leader-and-former-airbus-executive-to-its-board-of-directors/,2022-10-20,The Atlas Group,AE Industrial Partners,Investment and Financial Partnerships
"Firefly Aerospace Adds Chris Emerson, Longtime Aerospace Industry Leader and Former Airbus Executive, to its Board of Directors",https://fireflyspace.com/news/firefly-aerospace-adds-chris-emerson-longtime-aerospace-industry-leader-and-former-airbus-executive-to-its-board-of-directors/,2022-10-20,Firefly Aerospace,U.S. Space Force,Supplier-Customer Relationships
"Firefly Aerospace Adds Chris Emerson, Longtime Aerospace Industry Leader and Former Airbus Executive, to its Board of Directors",https://fireflyspace.com/news/firefly-aerospace-adds-chris-emerson-longtime-aerospace-industry-leader-and-former-airbus-executive-to-its-board-of-directors/,2022-10-20,Firefly Aerospace,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
U.S. Space Force Selects Firefly Aerospace for ‘Rapid Space’ VICTUS NOX Mission,https://fireflyspace.com/news/u-s-space-force-selects-firefly-aerospace-for-rapid-space-victus-nox-mission-2/,2022-10-03,Firefly Aerospace,U.S. Space Force,Supplier-Customer Relationships
NASA Selects Firefly as a Launch Provider for Venture-Class Acquisition of Dedicated and Rideshare (VADR) Missions,https://fireflyspace.com/news/nasa-selects-firefly-as-a-launch-provider-for-venture-class-acquisition-of-dedicated-and-rideshare-vadr-missions/,2022-09-14,Firefly Aerospace,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Firefly Aerospace Names Bill Weber as CEO,https://fireflyspace.com/news/firefly-aerospace-names-bill-weber-as-ceo/,2022-09-01,AE Industrial Partners,Firefly Aerospace,Investment and Financial Partnerships
"AE Industrial Partners Leads $75 Million Series B Growth Equity Investment in Firefly Aerospace, a Leading Provider of Launch and In-Space Vehicles",https://fireflyspace.com/news/ae-industrial-partners-leads-75-million-series-b-growth-equity-investment-in-firefly-aerospace-a-leading-provider-of-launch-and-in-space-vehicles/,2022-04-19,AE Industrial Partners,Firefly Aerospace,Investment and Financial Partnerships
Firefly Aerospace Conducts First Test Launch of Alpha Launch Vehicle,https://fireflyspace.com/news/firefly-aerospace-conducts-first-test-launch-of-alpha-launch-vehicle/,2021-09-10,Firefly Aerospace,Astera Institute,Strategic Alliances
Firefly Aerospace Conducts First Test Launch of Alpha Launch Vehicle,https://fireflyspace.com/news/firefly-aerospace-conducts-first-test-launch-of-alpha-launch-vehicle/,2021-09-10,Firefly Aerospace,Raven One Ventures,Strategic Alliances
